pid_x,pid_y,pid_z,front_left_speed,front_right_speed,back_left_speed,back_right_speed,orientation_x,orientation_y,orientation_z,acceleration_x,acceleration_y,acceleration_z,accel_rejected,mag_rejected,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z
-5.69163,0,0,10.6916,10.6916,5,5,9.48605,-0.441134,-5.13817,0.0427309,-0.26796,0.0608652,0,0,4.095,-112.98,-1.54,-0.005124,-0.420168,-0.938668,-0.04998,0.24346,0.32718
-5.8765,0,0,10.8765,10.8765,5,5,9.79416,-0.435989,-5.33163,0.0431271,-0.263391,0.0582441,0,0,3.9025,-113.173,-1.7675,-0.004636,-0.4209,-0.940376,-0.04998,0.24346,0.32718
-6.05802,0,0,11.058,11.058,5,5,10.0967,-0.42859,-5.52404,0.0437269,-0.257946,0.0585626,0,0,3.955,-113.138,-1.82,-0.003904,-0.420656,-0.939156,-0.04998,0.24346,0.32718
-6.23607,0,0,11.2361,11.2361,5,5,10.3935,-0.415209,-5.70846,0.0453156,-0.252604,0.0589956,0,0,3.9725,-113.033,-1.8025,-0.002074,-0.420412,-0.937814,-0.0525,0.24094,0.3311
-6.41067,0,0,11.4107,11.4107,5,5,10.6845,-0.404812,-5.88816,0.0424615,-0.247733,0.0576991,0,0,3.9375,-113.05,-1.75,-0.004758,-0.420534,-0.93818,-0.0525,0.24094,0.3311
-6.58183,0,0,11.5818,11.5818,5,5,10.9697,-0.392897,-6.06667,0.0428609,-0.243576,0.0554128,0,0,3.8675,-113.138,-1.7675,-0.004148,-0.421266,-0.939522,-0.0525,0.24094,0.3311
-6.7499,0,0,11.7499,11.7499,5,5,11.2498,-0.377327,-6.24522,0.044533,-0.239022,0.0549644,0,0,3.885,-113.05,-1.7325,-0.002196,-0.42151,-0.939034,-0.0525,0.24094,0.3311
-6.91401,0,0,11.914,11.914,5,5,11.5233,-0.360253,-6.4224,0.0447209,-0.233365,0.053655,0,0,3.92,-113.085,-1.6275,-0.001708,-0.420534,-0.9394,-0.0525,0.24094,0.3311
-7.0758,0,0,12.0758,12.0758,5,5,11.793,-0.342307,-6.59778,0.0446507,-0.230466,0.0528288,0,0,3.78,-112.963,-1.68,-0.001464,-0.422242,-0.939278,-0.0525,0.24094,0.3311
-7.23462,0,0,12.2346,12.2346,5,5,12.0577,-0.328182,-6.76833,0.04161,-0.225701,0.0529821,0,0,3.745,-113.19,-1.54,-0.00427,-0.421998,-0.93818,-0.0525,0.24094,0.3311
-7.39084,0,0,12.3908,12.3908,5,5,12.3181,-0.313538,-6.93723,0.0415974,-0.22248,0.0511635,0,0,3.78,-113.365,-1.5225,-0.004026,-0.423218,-0.939034,-0.0525,0.24094,0.3311
-7.54246,0,0,12.5425,12.5425,5,5,12.5708,-0.296537,-7.10934,0.042394,-0.214265,0.0529196,0,0,3.815,-113.26,-1.61,-0.002928,-0.419314,-0.93635,-0.05166,0.24094,0.3241
-7.69048,0,0,12.6905,12.6905,5,5,12.8175,-0.281871,-7.27761,0.0400728,-0.210308,0.0489009,0,0,3.85,-113.243,-1.61,-0.005002,-0.419558,-0.9394,-0.05166,0.24094,0.3241
-7.83591,0,0,12.8359,12.8359,5,5,13.0598,-0.265516,-7.44458,0.0403948,-0.20643,0.0485699,0,0,3.8675,-113.068,-1.5925,-0.004392,-0.419802,-0.93879,-0.05166,0.24094,0.3241
